"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 06 21:36:51 EST 2024","Wed Mar 06 21:36:54 EST 2024","2829","chrome","test/GoogleSearchallure.spec.ts","","","","Search for BMW on Search Field",""
"passed","Wed Mar 06 21:36:54 EST 2024","Wed Mar 06 21:36:58 EST 2024","3778","firefox","test/GoogleSearchallure.spec.ts","","","","Search for BMW on Search Field",""
